v(b0),v(b1),v(b2),v(b3),v(b4),v(b5),v(b6),i(Viout),v(Vout)
1,1,1,1,1,0,1,9.99755859E-05,0.999755859
0,0,0,0,0,1,1,0.000100024414,1.00024414
1,0,0,0,0,1,1,0.000101586914,1.01586914
0,1,0,0,0,1,1,0.000102368164,1.02368164
1,1,0,0,0,1,1,0.000103930664,1.03930664
0,0,1,0,0,1,1,0.000104321289,1.04321289
1,0,1,0,0,1,1,0.000105883789,1.05883789
0,1,1,0,0,1,1,0.000106665039,1.06665039
1,1,1,0,0,1,1,0.000108227539,1.08227539
0,0,0,1,0,1,1,0.000108422852,1.08422852
1,0,0,1,0,1,1,0.000109985352,1.09985352
0,1,0,1,0,1,1,0.000110766602,1.10766602
1,1,0,1,0,1,1,0.000112329102,1.12329102
0,0,1,1,0,1,1,0.000112719727,1.12719727
1,0,1,1,0,1,1,0.000114282227,1.14282227
0,1,1,1,0,1,1,0.000115063477,1.15063477
1,1,1,1,0,1,1,0.000116625977,1.16625977
0,0,0,0,1,1,1,0.000116723633,1.16723633
1,0,0,0,1,1,1,0.000118286133,1.18286133
0,1,0,0,1,1,1,0.000119067383,1.19067383
1,1,0,0,1,1,1,0.000120629883,1.20629883
0,0,1,0,1,1,1,0.000121020508,1.21020508
1,0,1,0,1,1,1,0.000122583008,1.22583008
0,1,1,0,1,1,1,0.000123364258,1.23364258
1,1,1,0,1,1,1,0.000124926758,1.24926758
0,0,0,1,1,1,1,0.00012512207,1.2512207
1,0,0,1,1,1,1,0.00012668457,1.2668457
0,1,0,1,1,1,1,0.00012746582,1.2746582
1,1,0,1,1,1,1,0.00012902832,1.2902832
0,0,1,1,1,1,1,0.000129418945,1.29418945
1,0,1,1,1,1,1,0.000130981445,1.30981445
0,1,1,1,1,1,1,0.000131762695,1.31762695
1,1,1,1,1,1,1,0.000133325195,1.33325195
